,year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1,1997-1998,105,1,1,HAWAII,"ABERCROMBIE, NEIL",0,0,0,0,0,0,HI,12,9,0,7,0,1,6/26/1938,58,0.569999993,46389,0.50001508,0.290962785,0.81400001,0.266000003,0.997949898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,10,90,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
2,1997-1998,105,1,5,NEW YOR,"ACKERMAN, GARY L.",1,2,3,1,0.333333343,4,NY,33,2,0,15,0,1,11/19/1942,54,0.600000024,57915,0.528344572,0.840148032,0.838999987,0.34799999,0.993443489,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,88,5,90,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
3,1997-1998,105,2,4,ALABAMA,"ADERHOLT, ROBERT B.",0,0,0,0,0,1,AL,1,6,1,1,0,1,7/22/1965,31,0.430000007,25401,0.529169321,0.925178468,0.577000022,0.081,0.341950387,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1997-1998,105,1,1,MAINE,"ALLEN, THOMAS H.",2,0,2,1,1,1,ME,20,1,0,1,0,1,4/16/1945,51,0.519999981,36067,0.525214076,0.985151291,0.816999972,0.223999992,0.489465594,NA,NA,NA,NA,NA,0.579999983,0.239999995,0.02,0.029999999,0.200000003,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
5,1997-1998,105,1,1,NEW JER,"ANDREWS, ROBERT E.",2,0,2,1,1,1,NJ,31,2,0,7,0,1,8/4/1957,39,0.589999974,40674,0.529127657,0.78356123,0.741999984,0.169,0.960758805,0.555555582,0.377192974,0.164750963,0.572992682,0.70714283,0.310000002,0.370000005,0.02,0.090000004,0.200000003,100,6,90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
6,1997-1998,105,2,7,TEXAS,"ARCHER, W.R.",3,4,7,1,0.428571433,2,TX,44,7,1,27,0,1,3/22/1928,68,0.280000001,51258,0.512625277,0.833415449,0.900999963,0.407000005,0.958093822,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1997-1998,105,2,26,TEXAS,"ARMEY, RICHARD K.",1,4,5,1,0.200000003,1,TX,44,7,1,13,0,1,7/7/1940,56,0.300000012,48733,0.510026097,0.871236622,0.883000016,0.370000005,0.953637898,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1997-1998,105,2,6,ALABAMA,"BACHUS, SPENCER",2,3,5,1,0.400000006,1,AL,1,6,1,5,0,1,12/28/1947,49,0.270000011,38768,0.529364109,0.897009134,0.789000034,0.262999982,0.772473872,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,0,90,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,1997-1998,105,1,6,KENTUCK,"BAESLER, SCOTTY",1,1,2,1,0.5,1,KY,18,6,0,5,0,1,9/9/1941,55,0.460000008,30482,0.529059112,0.907475531,0.699999988,0.199000001,0.630662441,0.200000003,NA,0,0.8125,0.600000024,0.610000014,0.140000001,0.01,0.050000001,0.189999998,75,45,55,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1
10,1997-1998,105,2,6,LOUISIA,"BAKER, RICHARD H.",1,1,2,1,0.5,1,LA,19,7,1,11,0,1,5/22/1948,48,0.5,29808,0.516373038,0.834334671,0.751999974,0.199000001,0.546012819,0.18699187,0.397260278,0.50515461,0.724409461,0.493670881,0.519999981,0.280000001,0,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1997-1998,105,1,2,MAINE,"BALDACCI, JOHN E.",0,1,1,0,0,2,ME,20,1,0,3,0,1,1/30/1955,41,0.50999999,29273,0.518541992,0.982894361,0.755999982,0.147,0.400162667,NA,NA,NA,NA,NA,0.579999983,0.239999995,0.02,0.029999999,0.200000003,100,5,90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
12,1997-1998,105,2,10,NORTH C,"BALLENGER, CASS",3,0,3,1,1,1,NC,34,5,1,11,0,1,12/6/1926,70,0.310000002,32577,0.518056452,0.936920941,0.654000044,0.136000007,0.294210941,0.270491809,0.445945948,0.20408164,0.75,0.662500024,0.689999998,0.100000001,0.01,0.050000001,0.150000006,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,1997-1998,105,1,5,MICHIGA,"BARCIA, JAMES A.",0,0,0,0,0,2,MI,23,3,0,5,0,1,2/25/1952,44,0.569999993,31422,0.526959479,0.888776422,0.738000035,0.107000001,0.494775862,0.388261855,0.336182326,0.233830839,0.648351669,0.615686297,0.529999971,0.230000004,0.01,0.059999999,0.189999998,63,90,45,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
14,1997-1998,105,2,7,GEORGIA,"BARR, BOB",1,3,4,1,0.25,1,GA,11,5,1,3,0,1,11/5/1948,48,0.400000006,33046,0.52490747,0.859445572,0.644999981,0.123999998,0.538329542,0.346153855,0.447272718,0.252427191,0.627027035,0.631578922,0.689999998,0.079999998,0.02,0.050000001,0.159999996,0,100,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,1997-1998,105,1,5,WISCONS,"BARRETT, THOMAS M.",1,1,2,1,0.5,2,WI,50,3,0,5,0,1,12/8/1953,43,0.629999995,31831,0.548388422,0.612735271,0.763000011,0.236000001,1,0.379061371,0.275423735,0.159695819,0.475177318,0.709219873,0.5,0.280000001,0,0.02,0.200000003,88,20,90,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1997-1998,105,2,3,NEBRASK,"BARRETT, WILLIAM E.",2,2,4,1,0.5,1,NE,28,4,1,7,0,1,2/9/1929,67,0.289999992,27357,0.523398817,0.975595653,0.785000026,0.137999997,0.439561874,0.351351351,0.231884062,0.12328767,0.699999988,0.411764711,0.529999971,0.270000011,0.01,0.02,0.159999996,38,90,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
17,1997-1998,105,2,6,MARYLAN,"BARTLETT, ROSCOE G.",4,6,10,1,0.400000006,1,MD,21,5,1,5,0,1,6/3/1926,70,0.379999995,42229,0.513513088,0.938370883,0.775999963,0.208999991,0.529796481,0.559139788,0.40397352,0.17159763,0.628272235,0.742574275,0.5,0.219999999,0.029999999,0.07,0.180000007,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1997-1998,105,2,6,TEXAS,"BARTON, JOE L.",2,1,3,1,0.666666687,1,TX,44,7,1,13,0,1,9/15/1949,47,0.330000013,48617,0.510564089,0.908570409,0.899999976,0.327999979,0.909439325,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,1997-1998,105,2,2,NEW HAM,"BASS, CHARLES F.",1,1,2,1,0.5,1,NH,30,1,1,3,0,1,1/8/1952,45,0.5,41291,0.516192198,0.980962038,0.819000006,0.248999998,0.469974339,0.520833313,0.315217406,0.222222224,0.613861382,0.72131145,0.370000005,0.349999994,0,0.029999999,0.239999995,25,30,35,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
20,1997-1998,105,2,1,VIRGINI,"BATEMAN, HERBERT H.",1,1,2,1,0.5,1,VA,47,5,1,15,0,1,8/7/1928,68,0.400000006,38176,0.515623271,0.79983896,0.773000002,0.21100001,0.560253918,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,13,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,1997-1998,105,1,30,CALIFOR,"BECERRA, XAVIER",2,0,2,1,1,2,CA,5,9,0,5,0,0,1/26/1958,38,0.709999979,24390,0.492286921,0.435625225,0.527999997,0.160999998,1,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,0,80,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
22,1997-1998,105,1,25,TEXAS,"BENTSEN, KENNETH",2,0,2,1,1,1,TX,44,7,0,3,0,1,6/3/1959,37,0.50999999,25899,0.520200968,0.606822133,0.783000052,0.224999994,0.990319967,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,100,5,95,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
23,1997-1998,105,2,1,NEBRASK,"BEREUTER, DOUGLAS K.",0,2,2,0,0,1,NE,28,4,1,19,0,1,10/6/1939,57,0.379999995,31546,0.51892513,0.963986099,0.81400001,0.185000002,0.607326269,0.351351351,0.231884062,0.12328767,0.699999988,0.411764711,0.529999971,0.270000011,0.01,0.02,0.159999996,13,85,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,1997-1998,105,1,26,CALIFOR,"BERMAN, HOWARD L.",2,0,2,1,1,4,CA,5,9,0,15,0,1,4/15/1941,55,0.649999976,34273,0.489127368,0.535052836,0.606000006,0.153999999,1,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,5,85,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
25,1997-1998,105,1,1,ARKANSA,"BERRY, ROBERT M.",1,1,2,1,0.5,1,AR,4,7,0,1,0,1,8/27/1942,54,0.579999983,21889,0.534681678,0.813405991,0.583000004,0.094999999,0.472094238,0.32520324,0.416666657,0.408163279,0.682539701,0.578947365,0.730000019,0.07,0.01,0.02,0.170000002,63,75,35,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
26,1997-1998,105,2,49,CALIFOR,"BILBRAY, BRIAN P.",3,2,5,1,0.600000024,2,CA,5,9,1,3,0,1,1/28/1951,45,0.49000001,40466,0.468445867,0.820706666,0.876999974,0.339000016,1,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,25,60,35,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
27,1997-1998,105,2,9,FLORIDA,"BILIRAKIS, MICHAEL",0,2,2,0,0,2,FL,10,5,1,15,0,1,7/16/1930,66,0.439999998,34585,0.530759692,0.946323514,0.799000025,0.197999999,0.810265601,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1997-1998,105,1,2,GEORGIA,"BISHOP, SANFORD D., JR.",0,0,0,0,0,1,GA,11,5,0,5,0,0,2/4/1947,49,0.49000001,21558,0.5367589,0.419664383,0.575999975,0.096999995,0.628505349,0.346153855,0.447272718,0.252427191,0.627027035,0.631578922,0.689999998,0.079999998,0.02,0.050000001,0.159999996,88,30,55,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1
29,1997-1998,105,1,5,ILLINOI,"BLAGOJEVICH, ROD R.",1,0,1,1,1,2,IL,14,3,0,1,0,1,12/10/1956,40,0.629999995,40112,0.526014566,0.868216872,0.736000001,0.261000007,0.999165416,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,100,5,85,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
30,1997-1998,105,2,7,VIRGINI,"BLILEY, THOMAS J.",1,1,2,1,0.5,2,VA,47,5,1,17,0,1,1/28/1932,64,0.349999994,45357,0.52970469,0.878082573,0.819000006,0.305000007,0.735253096,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,1997-1998,105,1,3,OREGON,"BLUMENAUER, EARL",1,1,2,1,0.5,0,OR,38,9,0,1,0,1,8/16/1948,48,0.579999983,32627,0.52477473,0.872634172,0.814999998,0.189999998,0.942035139,0.576271176,0.428571433,0.087719299,0.5,0.660000026,0.460000008,0.140000001,0.050000001,0.059999999,0.289999992,100,5,85,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
32,1997-1998,105,2,7,MISSOUR,"BLUNT, ROY",1,2,3,1,0.333333343,1,MO,26,4,1,1,0,1,1/10/1950,47,0.370000005,26368,0.528977871,0.97344619,0.729000032,0.145999998,0.52031368,0.436241597,0.267175585,0.234482765,0.609271526,0.646341443,0.560000002,0.189999998,0.02,0.02,0.209999993,13,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,1997-1998,105,2,23,NEW YOR,"BOEHLERT, SHERWOOD L.",3,1,4,1,0.75,2,NY,33,2,1,15,0,1,9/28/1936,60,0.460000008,31352,0.518424332,0.958182931,0.754000008,0.158999994,0.45205459,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,88,10,70,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0
34,1997-1998,105,2,8,OHIO,"BOEHNER, JOHN A.",2,0,2,1,1,2,OH,36,3,1,7,0,1,11/17/1949,47,0.370000005,36254,0.523005903,0.962186098,0.754000008,0.148000002,0.619709909,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,1997-1998,105,2,23,TEXAS,"BONILLA, HENRY",1,1,2,1,0.5,1,TX,44,7,1,5,0,0,1/2/1954,43,0.5,24064,0.521247029,0.738730907,0.597000003,0.166000009,0.751731217,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,13,89,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
36,1997-1998,105,1,10,MICHIGA,"BONIOR, DAVID E.",1,2,3,1,0.333333343,2,MI,23,3,0,21,0,1,6/6/1945,51,0.49000001,42003,0.522673726,0.964952588,0.773000002,0.128000006,0.832751513,0.388261855,0.336182326,0.233830839,0.648351669,0.615686297,0.529999971,0.230000004,0.01,0.059999999,0.189999998,75,65,80,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
37,1997-1998,105,2,44,CALIFOR,"BONO, SONNY",3,1,4,1,0.75,2,CA,5,9,1,3,0,1,2/16/1935,61,0.439999998,33293,0.511931896,0.765043736,0.713000059,0.131999999,0.864628613,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,90,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,1997-1998,105,1,3,PENNSYL,"BORSKI, ROBERT A., JR.",4,1,5,1,0.800000012,2,PA,39,2,0,15,0,1,10/20/1948,48,0.610000014,35441,0.534890354,0.892706037,0.666000009,0.127000004,1,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,63,84,65,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
39,1997-1998,105,1,3,IOWA,"BOSWELL, LEONARD L.",2,1,3,1,0.666666687,3,IA,16,4,0,1,0,1,1/10/1934,63,0.5,30286,0.519151747,0.974894583,0.793000042,0.157000005,0.537180841,0.375,0.319999993,0.179487184,0.522727251,0.652173936,0.519999981,0.230000004,0,0.059999999,0.180000007,88,25,65,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
40,1997-1998,105,1,9,VIRGINI,"BOUCHER, FREDERICK C.",0,0,0,0,0,1,VA,47,5,0,15,0,1,8/1/1946,50,0.460000008,25166,0.521584451,0.965722442,0.575999975,0.116999999,0.287309289,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,88,11,85,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
41,1997-1998,105,1,2,FLORIDA,"BOYD, F. ALLEN, JR.",1,2,3,1,0.333333343,1,FL,10,5,0,1,0,1,6/6/1945,51,0.469999999,28560,0.517861426,0.748575628,0.715999961,0.194999993,0.537313402,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,75,40,50,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
42,1997-1998,105,2,8,TEXAS,"BRADY, KEVIN",0,0,0,0,0,2,TX,44,7,1,1,0,1,11/4/1955,41,0.270000011,42696,0.506173074,0.894969583,0.829999983,0.291999996,0.652742684,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
43,1997-1998,105,1,3,FLORIDA,"BROWN, CORRINE",1,0,1,1,1,1,FL,10,5,0,5,1,0,11/11/1946,50,0.579999983,23685,0.531568825,0.431124985,0.632000029,0.098999999,0.839111209,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
44,1997-1998,105,1,42,CALIFOR,"BROWN, GEORGE E., JR.",0,6,6,0,0,1,CA,5,9,0,33,0,1,3/26/1920,76,0.529999971,36818,0.512688458,0.660145104,0.721999943,0.127000004,0.995010853,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
45,1997-1998,105,1,13,OHIO,"BROWN, SHERROD",2,0,2,1,1,1,OH,36,3,0,5,0,1,11/9/1952,44,0.460000008,39210,0.519637585,0.935970604,0.786000013,0.165000007,0.640670598,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,100,5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1997-1998,105,2,7,TENNESS,"BRYANT, EDWARD G.",0,3,3,0,0,1,TN,43,6,1,3,0,1,9/7/1948,48,0.409999996,33405,0.515662611,0.861786544,0.725000024,0.186000004,0.57188195,0.32661289,0.35164836,0.247706428,0.634920657,0.506756783,0.75999999,0.059999999,0,0.029999999,0.140000001,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1997-1998,105,2,4,KENTUCK,"BUNNING, JIM",5,4,9,1,0.555555582,2,KY,18,6,1,11,0,1,10/23/1931,65,0.409999996,31257,0.523652375,0.973057985,0.675999999,0.134000003,0.538811088,0.200000003,NA,0,0.8125,0.600000024,0.610000014,0.140000001,0.01,0.050000001,0.189999998,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1997-1998,105,2,5,NORTH C,"BURR, RICHARD M.",0,2,2,0,0,1,NC,34,5,1,3,0,1,11/30/1955,41,0.409999996,30996,0.530728877,0.839056373,0.653000057,0.148000002,0.395768553,0.270491809,0.445945948,0.20408164,0.75,0.662500024,0.689999998,0.100000001,0.01,0.050000001,0.150000006,25,100,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
49,1997-1998,105,2,6,INDIANA,"BURTON, DANNY L.",2,1,3,1,0.666666687,1,IN,15,3,1,15,0,1,6/21/1938,58,0.280000001,44668,0.527938485,0.977264345,0.853000045,0.26700002,0.761713207,0.243401766,0.264084518,0.252365917,0.538461566,0.525714278,0.550000012,0.200000003,0.01,0.050000001,0.189999998,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1997-1998,105,2,5,INDIANA,"BUYER, STEVE",1,1,2,1,0.5,1,IN,15,3,1,5,0,1,11/26/1958,38,0.370000005,32210,0.523146391,0.966799259,0.750999987,0.108999997,0.422907025,0.243401766,0.264084518,0.252365917,0.538461566,0.525714278,0.550000012,0.200000003,0.01,0.050000001,0.189999998,13,100,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
51,1997-1998,105,1,1,ALABAMA,"CALLAHAN, HERBERT L. (SONNY)",1,4,5,1,0.200000003,2,AL,1,6,0,13,0,1,9/11/1932,64,0.389999986,27360,0.535015285,0.69850111,0.68900001,0.147,0.659166455,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1997-1998,105,2,43,CALIFOR,"CALVERT, KEN",0,0,0,0,0,1,CA,5,9,1,5,0,1,6/8/1953,43,0.430000007,41812,0.497852981,0.757336378,0.763999999,0.157000005,0.859632969,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,100,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,1997-1998,105,2,4,MICHIGA,"CAMP, DAVID LEE",0,1,1,0,0,2,MI,23,3,1,7,0,1,7/9/1953,43,0.469999999,30754,0.51443541,0.97139889,0.761999965,0.135000005,0.281019568,0.388261855,0.336182326,0.233830839,0.648351669,0.615686297,0.529999971,0.230000004,0.01,0.059999999,0.189999998,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1997-1998,105,2,15,CALIFOR,"CAMPBELL, TOM",0,0,0,0,0,2,CA,5,9,1,9,0,1,8/14/1952,44,0.529999971,57300,0.505996227,0.822416306,0.883000016,0.34799999,0.95930022,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,38,5,55,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1
55,1997-1998,105,2,12,FLORIDA,"CANADY, CHARLES T.",0,0,0,0,0,1,FL,10,5,1,5,0,1,6/22/1954,42,0.430000007,29239,0.522685051,0.841413379,0.670000017,0.129999995,0.66256249,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,0,100,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1997-1998,105,2,3,UTAH,"CANNON, CHRISTOPHER B.",5,2,7,1,0.714285731,3,UT,45,8,1,1,0,1,10/20/1950,46,0.289999992,29629,0.51457715,0.931247294,0.82099998,0.186000004,0.774834871,0.456521749,0.5,0.151162788,0.380434781,0.733333349,0.119999997,0.059999999,0.569999993,0.039999999,0.209999993,13,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1997-1998,105,1,22,CALIFOR,"CAPPS, WALTER",2,1,3,1,0.666666687,1,CA,5,9,0,1,0,1,5/5/1934,62,0.439999998,39631,0.495548338,0.816631794,0.81400001,0.252999991,0.885264397,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,58,75,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
58,1997-1998,105,1,3,MARYLAN,"CARDIN, BENJAMIN L.",1,1,2,1,0.5,4,MD,21,5,0,11,0,1,10/5/1943,53,0.579999983,41804,0.533801019,0.795174658,0.750999987,0.272000015,0.981409788,0.559139788,0.40397352,0.17159763,0.628272235,0.742574275,0.5,0.219999999,0.029999999,0.07,0.180000007,100,5,85,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
59,1997-1998,105,1,10,INDIANA,"CARSON, JULIA M.",1,1,2,1,0.5,1,IN,15,3,0,1,1,0,7/8/1938,58,0.540000021,29818,0.538775682,0.685726941,0.715999961,0.169,1,0.243401766,0.264084518,0.252365917,0.538461566,0.525714278,0.550000012,0.200000003,0.01,0.050000001,0.189999998,88,0,85,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
60,1997-1998,105,2,1,DELAWAR,"CASTLE, MICHAEL N.",0,0,0,0,0,2,DE,8,5,1,5,0,1,7/2/1939,57,0.519999981,40252,0.523943603,0.803241849,0.774999976,0.214000002,1,NA,NA,NA,NA,NA,0.569999993,0.090000004,0,0.079999998,0.25999999,63,35,55,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0
61,1997-1998,105,2,1,OHIO,"CHABOT, STEVEN",1,1,2,1,0.5,2,OH,36,3,1,3,0,1,1/22/1953,43,0.5,32697,0.543446839,0.685729563,0.721999943,0.187000006,0.987754405,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,1997-1998,105,2,8,GEORGIA,"CHAMBLISS, C. SAXBY",1,1,2,1,0.5,1,GA,11,5,1,3,0,1,11/10/1943,53,0.469999999,30397,0.526956558,0.77745831,0.678000033,0.144999996,0.48725608,0.346153855,0.447272718,0.252427191,0.627027035,0.631578922,0.689999998,0.079999998,0.02,0.050000001,0.159999996,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1997-1998,105,2,1,IDAHO,"CHENOWETH, HELEN P.",1,1,2,1,0.5,1,ID,13,8,1,3,1,1,7/27/1938,58,0.349999994,29226,0.510491252,0.949240804,0.788000047,0.167000011,0.542179823,NA,NA,NA,NA,NA,0.430000007,0.150000006,0.150000006,0.02,0.25,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,1997-1998,105,2,2,NEBRASK,"CHRISTENSEN, JON LYNN",0,0,0,0,0,1,NE,28,4,1,3,0,1,2/20/1963,33,0.379999995,37128,0.524302006,0.874568641,0.856000006,0.247999996,0.936965287,0.351351351,0.231884062,0.12328767,0.699999988,0.411764711,0.529999971,0.270000011,0.01,0.02,0.159999996,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
