,year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1009,2001-2002,107,2,20,NEW YOR,"GILMAN, BENJAMIN",1,2,3,1,0.333333343,4,NY,33,2,1,29,0,1,12/6/1922,78,0.557894766,53782,0.51944083,0.866321027,0.816999972,0.296000004,0.774555504,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,2001-2002,107,1,20,TEXAS,"GONZALEZ, CHARLES A.",0,1,1,0,0,2,TX,44,7,0,3,0,0,5/5/1945,55,0.560000002,25398,0.519958198,0.717608273,0.684000015,0.156000003,0.970422983,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,2001-2002,107,3,5,VIRGINI,"GOODE, VIRGIL H., JR.",1,0,1,1,1,1,VA,47,5,0,5,0,1,10/17/1946,54,0.416666657,29727,0.5249843,0.743721843,0.606999993,0.133000001,0.326390624,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1012,2001-2002,107,2,6,VIRGINI,"GOODLATTE, ROBERT W.",1,1,2,1,0.5,3,VA,47,5,1,9,0,1,9/22/1952,48,0.40206185,32541,0.532012701,0.87561059,0.698000014,0.167000011,0.660153747,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,2001-2002,107,1,6,TENNESS,"GORDON, BART J.",1,0,1,1,1,1,TN,43,6,0,17,0,1,1/24/1949,51,0.474747479,33945,0.518901408,0.933340371,0.681999981,0.172000006,0.460536152,0.32661289,0.35164836,0.247706428,0.634920657,0.506756783,0.75999999,0.059999999,0,0.029999999,0.140000001,73,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,2001-2002,107,2,14,FLORIDA,"GOSS, PORTER J.",1,3,4,1,0.25,1,FL,10,5,1,13,0,1,11/26/1938,62,0.391752571,33291,0.518528342,0.91926837,0.773999989,0.177000001,0.822258115,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,2001-2002,107,2,3,SOUTH C,"GRAHAM, LINDSEY",0,0,0,0,0,1,SC,41,5,1,7,0,1,7/9/1955,45,0.357142866,31237,0.525932133,0.785957396,0.643000007,0.143999994,0.424194306,0.428571433,0,0,0.642857134,0.727272749,0.779999971,0.07,0.01,0.029999999,0.100000001,0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,2001-2002,107,2,12,TEXAS,"GRANGER, KAY",1,2,3,1,0.333333343,1,TX,44,7,1,5,1,1,1/18/1943,57,0.409999996,31729,0.513827026,0.801274061,0.708999991,0.152999997,0.869811416,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,9,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,2001-2002,107,2,6,MISSOUR,"GRAVES, SAMUEL",2,1,3,1,0.666666687,1,MO,26,4,1,1,0,1,11/7/1963,37,0.453608245,32516,0.524211109,0.96473217,0.784000039,0.159999996,0.624808729,0.436241597,0.267175585,0.234482765,0.609271526,0.646341443,0.560000002,0.189999998,0.02,0.02,0.209999993,18,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,2001-2002,107,1,29,TEXAS,"GREEN, GENE",1,1,2,1,0.5,1,TX,44,7,0,9,0,1,10/17/1947,53,0.610000014,22230,0.487321675,0.540411174,0.460000008,0.064999998,1,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,100,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
